date,amount_mxn,selected_source,selection_basis,merge_status,notebook_amount_mxn,notebook_review_status,notebook_recognition_confidence,notebook_source_page,managementpro_amount_mxn,managementpro_journal_sales_mxn,managementpro_amount_basis,managementpro_validation_status,managementpro_source_method,managementpro_source_snapshot,notes
2019-07-28,79.00,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,79.00,79.00,gross_valid_pos_sales_excluding_cancellations,verified_mdb_journal_match,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-07-29,84.00,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,84.00,84.00,gross_valid_pos_sales_excluding_cancellations,verified_mdb_journal_match,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-07-30,37.50,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,37.50,37.50,gross_valid_pos_sales_excluding_cancellations,verified_mdb_journal_match,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-07-31,90.50,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,90.50,90.50,gross_valid_pos_sales_excluding_cancellations,verified_mdb_journal_match,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-08-02,19.50,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,19.50,19.50,gross_valid_pos_sales_excluding_cancellations,verified_mdb_journal_match,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-08-03,121.50,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,121.50,121.50,gross_valid_pos_sales_excluding_cancellations,verified_mdb_journal_match,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-08-04,22.00,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,22.00,22.00,gross_valid_pos_sales_excluding_cancellations,verified_mdb_journal_match,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-08-05,143.00,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,143.00,143.00,gross_valid_pos_sales_excluding_cancellations,verified_mdb_journal_match,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-08-06,30.00,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,30.00,30.00,gross_valid_pos_sales_excluding_cancellations,verified_mdb_journal_match,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-08-07,73.50,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,73.50,73.50,gross_valid_pos_sales_excluding_cancellations,verified_mdb_journal_match,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-08-09,307.95,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,307.95,330.50,gross_valid_pos_sales_excluding_cancellations,review_mdb_journal_difference,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue. Authoritative MDB differs from journal audit by -22.55 MXN.
2019-08-10,11.50,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,11.50,11.50,gross_valid_pos_sales_excluding_cancellations,verified_mdb_journal_match,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-08-11,65.50,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,65.50,65.50,gross_valid_pos_sales_excluding_cancellations,verified_mdb_journal_match,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-08-12,130.50,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,130.50,130.50,gross_valid_pos_sales_excluding_cancellations,verified_mdb_journal_match,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-08-13,187.50,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,187.50,195.50,gross_valid_pos_sales_excluding_cancellations,review_mdb_journal_difference,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue. Authoritative MDB differs from journal audit by -8.00 MXN.
2019-08-15,65.00,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,65.00,65.00,gross_valid_pos_sales_excluding_cancellations,verified_mdb_journal_match,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-08-16,62.00,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,62.00,62.00,gross_valid_pos_sales_excluding_cancellations,verified_mdb_journal_match,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-08-17,115.50,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,115.50,115.50,gross_valid_pos_sales_excluding_cancellations,verified_mdb_journal_match,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-08-18,167.00,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,167.00,167.00,gross_valid_pos_sales_excluding_cancellations,verified_mdb_journal_match,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-08-19,89.00,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,89.00,89.00,gross_valid_pos_sales_excluding_cancellations,verified_mdb_journal_match,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-08-20,115.50,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,115.50,115.50,gross_valid_pos_sales_excluding_cancellations,verified_mdb_journal_match,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-08-21,541.00,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,541.00,541.00,gross_valid_pos_sales_excluding_cancellations,verified_mdb_journal_match,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-08-22,71.00,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,71.00,71.00,gross_valid_pos_sales_excluding_cancellations,verified_mdb_journal_match,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-08-23,138.00,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,138.00,138.00,gross_valid_pos_sales_excluding_cancellations,verified_mdb_journal_match,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-08-24,525.61,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,525.61,558.00,gross_valid_pos_sales_excluding_cancellations,review_mdb_journal_difference,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue. Authoritative MDB differs from journal audit by -32.39 MXN.
2019-08-25,243.50,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,243.50,243.50,gross_valid_pos_sales_excluding_cancellations,verified_mdb_journal_match,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-08-26,639.00,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,639.00,639.00,gross_valid_pos_sales_excluding_cancellations,verified_mdb_journal_match,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-08-27,700.90,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,700.90,710.50,gross_valid_pos_sales_excluding_cancellations,review_mdb_journal_difference,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue. Authoritative MDB differs from journal audit by -9.60 MXN.
2019-08-28,402.00,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,402.00,402.00,gross_valid_pos_sales_excluding_cancellations,verified_mdb_journal_match,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-08-29,301.00,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,301.00,301.00,gross_valid_pos_sales_excluding_cancellations,verified_mdb_journal_match,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-08-30,109.50,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,109.50,109.50,gross_valid_pos_sales_excluding_cancellations,verified_mdb_journal_match,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-08-31,212.00,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,212.00,213.50,gross_valid_pos_sales_excluding_cancellations,review_mdb_journal_difference,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue. Authoritative MDB differs from journal audit by -1.50 MXN.
2019-09-01,400.50,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,400.50,400.50,gross_valid_pos_sales_excluding_cancellations,verified_mdb_journal_match,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-09-02,199.00,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,199.00,199.00,gross_valid_pos_sales_excluding_cancellations,verified_mdb_journal_match,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-09-03,82.00,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,82.00,82.00,gross_valid_pos_sales_excluding_cancellations,verified_mdb_journal_match,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-09-04,165.00,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,165.00,165.00,gross_valid_pos_sales_excluding_cancellations,verified_mdb_journal_match,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-09-05,78.00,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,78.00,78.00,gross_valid_pos_sales_excluding_cancellations,verified_mdb_journal_match,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-09-06,95.00,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,95.00,95.00,gross_valid_pos_sales_excluding_cancellations,verified_mdb_journal_match,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-09-07,64.00,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,64.00,64.00,gross_valid_pos_sales_excluding_cancellations,verified_mdb_journal_match,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-09-08,86.00,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,86.00,86.00,gross_valid_pos_sales_excluding_cancellations,verified_mdb_journal_match,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-09-09,134.00,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,134.00,134.00,gross_valid_pos_sales_excluding_cancellations,verified_mdb_journal_match,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-09-10,161.50,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,161.50,161.50,gross_valid_pos_sales_excluding_cancellations,verified_mdb_journal_match,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-09-11,131.50,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,131.50,131.50,gross_valid_pos_sales_excluding_cancellations,verified_mdb_journal_match,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-09-12,102.50,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,102.50,102.50,gross_valid_pos_sales_excluding_cancellations,verified_mdb_journal_match,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-09-13,242.50,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,242.50,242.50,gross_valid_pos_sales_excluding_cancellations,verified_mdb_journal_match,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-09-14,53.00,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,53.00,53.00,gross_valid_pos_sales_excluding_cancellations,verified_mdb_journal_match,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-09-15,5.00,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,5.00,5.00,gross_valid_pos_sales_excluding_cancellations,verified_mdb_journal_match,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-09-16,36.50,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,36.50,36.50,gross_valid_pos_sales_excluding_cancellations,verified_mdb_journal_match,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-09-17,239.00,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,239.00,239.00,gross_valid_pos_sales_excluding_cancellations,verified_mdb_journal_match,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-09-18,360.00,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,360.00,360.00,gross_valid_pos_sales_excluding_cancellations,verified_mdb_journal_match,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-09-19,106.00,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,106.00,106.00,gross_valid_pos_sales_excluding_cancellations,verified_mdb_journal_match,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-09-20,136.00,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,136.00,136.00,gross_valid_pos_sales_excluding_cancellations,verified_mdb_journal_match,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-09-21,146.00,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,146.00,146.00,gross_valid_pos_sales_excluding_cancellations,verified_mdb_journal_match,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-09-22,163.00,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,163.00,163.00,gross_valid_pos_sales_excluding_cancellations,verified_mdb_journal_match,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-09-23,166.50,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,166.50,166.50,gross_valid_pos_sales_excluding_cancellations,verified_mdb_journal_match,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
